tag,display,desc
血清学检测（serological test）,3,
已出院（discharged）,3,
国家传染病中心（National Centre for Infectious Diseases）,2,
NCID,2,
新加坡中央医院（Singapore General Hospital）,2,
SGH,2,
竹脚妇幼医院（KK Women's and Children's Hospital）,2,
KKH,2,
盛港综合医院（Sengkang General Hospital）,2,
SKH,2,
国大医院（National University Hospital）,2,
NUH,2,
黄廷方综合医院（Ng Teng Fong General Hospital）,2,
HTFG,2,
樟宜综合医院（Changi General Hospital）,2,
CGH,2,
邱德拔医院（Khoo Teck Puat Hospital）,2,
KTPH,2,
亚历山大医院（Alexandra Hospital）,2,
AH,2,
男（Male）,2,
女（Female）,2,
12岁及以下（Children）,2,
13-19岁,2,
20-29岁,2,
30-39岁,2,
40-49岁,2,
50-59岁,2,
60-69岁,2,
70岁及以上,2,
第二科学园（Science Park 2）,1,
Asia Asset Recovery,1,
WinTech Nano-Technology Services,1,
1月25日美苑通道参加家庭聚会（CNY family gathering),1,
教堂（Church）,1,
碧山民众俱乐部（Bishan Community Club）,1,
理工大学（SIT）,1,
莱佛士书院（Raffles Institution ）,1,
星展（DBS Asia Central）,1,
美苑通道（Mei Hwan Drive）,1,
武吉巴督（Bukit Batok）,1,
实龙岗道（Serangoon Avenue）,1,
