group,type,filterable,filter_desc
1,父子,,
2,旅伴,,
2.2,接触者,,
3,旅伴,,
7,基督生命堂,1,透过卫生部的追踪调查，发现有好几起病患与基督生命堂有关。
7.1,夫妻,,
7.5,夫妻/家庭聚会参与者,,
10,旅伴,,
13,武汉包机返新,,
13.6,接触者,,
15,永泰行,1,一组来自中国广西的旅游团到位于卡文路的中药行购物，结果职员确诊，也连带把病毒传染给家人，让本地出现首个感染群；带队的导游也确诊。旅游团中，中国当局也确认有人感染冠状病毒19。
15.1,家庭,,
15.2,工作接触,,
15.3,家庭,,
16,实里达宇航岭工地,1,不止一名孟加拉籍客工确诊，使实里达宇航岭（Seletar Aerospace Heights）工地成为一个社区感染群。
16.2,密切接触,,
17,君悦酒店会议,1,有跨国公司的员工在出席本地于君悦酒店举行的会议后，相继在回国后确诊上冠状病毒19，导致世界卫生组织也介入，展开跨国调查。
18,源头不明,,
18.81,接触者及其家人,,
18.5,家人,,
18.83,接触者,,
18.8,家人及接触者,,
19,神召会恩典堂,1,不止一名病例曾去过神召会恩典堂（Grace Assembly of God）位于东陵和武吉巴督的教堂。
19.3,密切接触,,
19.81,家人,,
19.84,家庭聚会参与者,,
20,Wizlearn Technologies,1,位于第二科学园的培训公司Wizlearn Technologies有多名职员确诊，成为又一个感染群。
20.1,密切接触,,
21,裕廊战备军人协会晚宴,1,裕廊战备军人协会俱乐部的一起私人晚宴
21.41,家人,,
