group,type,filterable,filter_desc,section,date,initial_count,coordinates,close_date,moh_name
10000,近期确诊病例,2,卫生部最近公布的确诊病例（4月26日），所属感染群及关联病例未公布。其中，有两起境外输入病例，他们是在本月10日从国外返新的本地公民，一抵新就履行居家通知。本地新增四个新感染群分别是圣诺哥路38号的Proptech私人有限公司（21起）、建德弯5号（24起）、双溪加株6街3号（57起），以及大士景广场133号（四起）。,,,,,,
1000,所属感染群及关联病例未公布,,,,,,,,
301,建德路28号,,5月23日，因早前确诊的5起病例，大士景一径121号被列为感染群。,工业区,2020-5-23,5,"1.3295787, 103.6928417",,28 Kian Teck Road
300,大士景一径121号,,5月23日，因早前确诊的15起病例，大士景一径121号被列为感染群。,工业区,2020-5-23,15,"1.3007693, 103.6281709",,121 Tuas View Walk 1
299.001,接触者,,,,,,,,
299,马里士他路564A至E号,,5月22日，因早前确诊的3起病例，马里士他路564A至E号被列为感染群。,社区,2020-5-22,3,"1.3269670, 103.8443764",,564 A-E Balestier Road
298,加基武吉工业台71号,,5月22日，因7起新病例与早前确诊的2起病例，加基武吉工业台71号被列为感染群。,工业区,2020-5-22,9,"1.3353434, 103.9014558",,71 Kaki Bukit Industrial Terrace
297,旺年护理之家,,5月21日，因4起新病例，位于四美3街的旺年护理之家（Orange Valley Nursing Home）被列为感染群。,社区,2020-5-21,4,"1.3407195, 103.9480706",,Orange Valley Nursing Home (6 Simei Street 3)
296,泰戈尔巷144号,,5月20日，因1起新病例与早前确诊的2起病例，泰戈尔巷144号被列为感染群。,工业区,2020-5-20,3,"1.3852647, 103.8296731",,144 Tagore Lane
295,圣诺哥南路29号,,5月20日，因4起新病例与早前确诊的1起病例，圣诺哥南路7号被列为感染群。,工业区,2020-5-20,5,"1.4546174, 103.8026083",,29 Senoko South Road
294,双溪加株4街2号,,5月19日，因8起新病例与早前确诊的7起病例，双溪加株4街2号被列为感染群。,工业区,2020-5-19,15,"1.4199908, 103.7495978",,2 Sungei Kadut Street 4
293,加基武吉4路13号,,5月19日，因早前确诊的4起病例，加基武吉4路13号被列为感染群。,工业区,2020-5-19,4,"1.3386172, 103.9110835",,13 Kaki Bukit Road 4
292,兀兰E1工业区7号,,5月18日，因1起新病例与早前确诊的8起病例，兀兰E1工业区7号被列为感染群。,工业区,2020-5-18,9,"1.4535449, 103.7950498",,7 Woodlands Industrial Park E1
291,大士景一径117号,,5月18日，因早前确诊的4起病例，大士景一径117号被列为感染群。,工业区,2020-5-18,4,"1.3008635, 103.6279181",,117 Tuas View Walk 1
290,大士景弄43号,,5月18日，因早前确诊的10起病例，大士景弄43号被列为感染群。,工业区,2020-5-18,10,"1.3006248, 103.6257167",,43 Tuas View Close
289,甘榜安拔2号,,5月18日，因7起新病例与早前确诊的11起病例，甘榜安拔2号被列为感染群。,工业区,2020-5-18,18,"1.3327883, 103.8828518",,2 Kampong Ampat
288,双溪加株道9号,,5月17日，因早前确诊的13起病例，双溪加株道9号被列为感染群。,工业区,2020-5-17,13,"1.4013550, 103.7537927",,9 Sungei Kadut Avenue
287,双溪加株大道9号,,5月16日，因2起新病例与早前确诊的7起病例，双溪加株大道9号被列为感染群。,工业区,2020-5-16,9,"1.4182905, 103.7510049",,9 Sungei Kadut Way
