date,suspect_positive,suspect_negative,suspect_test_pending,close_contacts,close_contacts_in_SG,close_contacts_in_SG_contacted,discharged,critical_condition,stable,daily_new_discharged,daily_new_cases,currently_quarantined,completed_quarantine,updated_at,link
2020-1-25,3,29,32,106,78,57,,,,,,,,,https://www.moh.gov.sg/news-highlights/details/update-on-novel-coronavirus-infection-in-singapore
2020-1-26,4,46,42,115,86,66,,,,,,,,,https://www.moh.gov.sg/news-highlights/details/update-on-wuhan-coronavirus-infection-in-singapore
2020-1-27,4,62,57,115,86,75,,,,,,,,,https://www.moh.gov.sg/news-highlights/details/fifth-confirmed-imported-case-of-wuhan-coronavirus-infection-in-singapore-27Jan
2020-1-28,7,91,72,160,130,116,,,,,,,,,https://www.moh.gov.sg/news-highlights/details/update-on-wuhan-coronavirus-infection-in-singapore-28Jan
2020-1-29,8,124,70,144,115,111,,,,,,,,,https://www.moh.gov.sg/news-highlights/details/three-more-confirmed-imported-cases-of-wuhan-coronavirus-infection-in-singapore
2020-1-30,13,164,49,170,139,135,,,,,,,,,https://www.moh.gov.sg/news-highlights/details/three-more-confirmed-imported-cases-of-wuhan-coronavirus-infection-in-singapore-30Jan
2020-1-31,16,198,35,202,162,156,,,,,,,,,https://www.moh.gov.sg/news-highlights/details/three-more-confirmed-imported-cases-of-wuhan-coronavirus-infection-in-singapore-31-jan
2020-2-1,18,231,25,245,177,172,,,,,,,,,https://www.moh.gov.sg/news-highlights/details/two-more-confirmed-imported-cases-of-novel-coronavirus-infection-in-singapore
2020-2-2,18,240,43,251,182,179,,,,,,,,,https://www.moh.gov.sg/news-highlights/details/no-new-confirmed-cases-of-novel-coronavirus-infection-in-singapore
2020-2-3,18,262,32,256,187,186,,,,,,,,,https://www.moh.gov.sg/news-highlights/details/no-new-confirmed-cases-of-novel-coronavirus-infection-in-singapore-3-Feb
2020-2-4,24,289,20,311,239,234,1,0,23,1,6,,,,https://www.moh.gov.sg/news-highlights/details/update-on-novel-coronavirus-infection-in-singapore-1
2020-2-5,28,295,62,379,304,299,1,0,27,0,4,,,,https://www.moh.gov.sg/news-highlights/details/four-more-confirmed-cases-of-novel-coronavirus-infection-in-singapore
2020-2-6,30,310,147,435,353,348,1,1,28,0,2,,,,https://www.moh.gov.sg/news-highlights/details/two-more-confirmed-cases-of-novel-coronavirus-infection-in-singapore
2020-2-7,33,,,,,,2,2,29,1,3,,,,https://www.moh.gov.sg/news-highlights/details/three-more-confirmed-cases-of-novel-coronavirus-infection-in-singapore
2020-2-8,40,438,181,758,663,647,2,4,34,0,7,,,,https://www.moh.gov.sg/news-highlights/details/seven-more-confirmed-cases-of-novel-coronavirus-infection-in-singapore
2020-2-9,43,516,98,989,892,845,6,6,31,4,3,,,,https://www.moh.gov.sg/news-highlights/details/four-more-cases-discharged-three-new-cases-of-novel-coronavirus-infection-confirmed
2020-2-10,45,581,39,1026,927,896,7,7,31,1,2,,,中午12点,https://www.moh.gov.sg/news-highlights/details/one-more-case-discharged-two-new-cases-of-novel-coronavirus-infection-confirmed-10feb
2020-2-11,47,608,43,1124,1021,989,9,7,31,2,2,,,中午12时,https://www.moh.gov.sg/news-highlights/details/two-more-cases-discharged-two-new-cases-of-novel-coronavirus-infection-confirmed
2020-2-12,50,638,125,1090,984,961,15,8,27,6,3,,,中午12时,https://www.moh.gov.sg/news-highlights/details/six-more-cases-discharged-three-new-cases-of-covid-19-infection-confirmed
2020-2-13,58,711,82,1278,1161,1144,15,7,36,0,8,,,,https://www.moh.gov.sg/news-highlights/details/eight-more-confirmed-cases-of-covid-19-infection
2020-2-14,67,764,91,1368,1247,1234,17,6,44,2,9,,,,https://www.moh.gov.sg/news-highlights/details/two-more-cases-discharged-nine-new-cases-of-covid-19-infection-confirmed
2020-2-15,72,812,107,2093,1959,1697,18,6,48,1,5,,,,https://www.moh.gov.sg/news-highlights/details/one-more-case-discharged-five-new-cases-of-covid19-infection-confirmed
2020-2-16,75,871,119,2179,2045,1781,19,5,51,1,3,,,,https://www.moh.gov.sg/news-highlights/details/five-more-cases-discharged-two-new-cases-of-covid-19-infection-confirmed
2020-2-17,77,937,103,,,,24,4,49,5,2,1081,1277,,https://www.moh.gov.sg/news-highlights/details/five-more-cases-discharged-two-new-cases-of-covid-19-infection-confirmed
2020-2-18,81,,,,,,29,4,48,5,4,1160,1326,,https://www.moh.gov.sg/news-highlights/details/five-more-cases-discharged-four-new-cases-of-covid-19-infection-confirmed
2020-2-19,84,1078,29,,,,34,4,46,5,3,1172,1421,,https://www.moh.gov.sg/news-highlights/details/five-more-cases-discharged-three-new-cases-of-covid-19-infection-confirmed
2020-2-20,85,1104,34,,,,37,4,44,3,1,1147,1469,,https://www.moh.gov.sg/news-highlights/details/five-more-cases-discharged-three-new-cases-of-covid-19-infection-confirmed
2020-2-21,86,1108,67,,,,47,5,34,10,1,1122,1574,,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/press-release-ten-more-cases-discharged-one-new-case-of-covid-19-infection-confirmed-(1)7764e2e96f8a4161904a6d16204cd879.pdf
2020-2-22,89,1157,55,,,,49,5,35,2,3,1101,1633,,https://www.moh.gov.sg/news-highlights/details/two-more-cases-discharged-three-new-cases-of-covid-19-infection-confirmed
2020-2-23,89,1202,41,,,,51,5,33,2,0,908,1904,,https://www.moh.gov.sg/news-highlights/details/two-more-cases-discharged-no-new-confirmed-case-of-covid-19-infection
2020-2-24,90,1239,25,,,,53,7,30,2,1,856,1986,,https://www.moh.gov.sg/news-highlights/details/two-more-cases-discharged-one-new-case-of-covid-19-infection-confirmed
2020-2-25,91,1258,15,,,,58,7,26,5,1,371,2475,,https://www.moh.gov.sg/news-highlights/details/five-more-cases-discharged-one-new-case-of-covid-19-infection-confirmed
2020-2-26,93,,,,,,62,7,24,4,2,259,2589,,https://www.moh.gov.sg/news-highlights/details/four-more-cases-discharged-two-new-cases-of-covid-19-infection-confirmed
2020-2-27,96,,,,,,66,8,22,4,3,245,2642,,https://www.moh.gov.sg/news-highlights/details/four-more-cases-discharged-three-new-cases-of-covid-19-infection-confirmed
2020-2-28,98,,,,,,69,7,22,3,2,191,2749,,https://www.moh.gov.sg/news-highlights/details/three-more-cases-discharged-two-new-cases-of-covid-19-infection-confirmed
2020-2-29,102,,,,,,72,7,23,3,4,269,2764,,https://www.moh.gov.sg/news-highlights/details/three-more-cases-discharged-four-new-cases-of-covid-19-infection-confirmed
2020-3-1,106,,,,,,74,7,25,2,4,367,2766,,https://www.moh.gov.sg/news-highlights/details/two-more-cases-discharged-four-new-cases-of-covid-19-infection-confirmed
2020-3-2,108,,,,,,78,6,24,4,2,335,2805,,https://www.moh.gov.sg/news-highlights/details/four-more-cases-discharged-two-new-cases-of-covid-19-infection-confirmed-2Mar
2020-3-3,110,,,,,,78,7,25,0,2,336,2837,,https://www.moh.gov.sg/news-highlights/details/two-new-cases-of-covid-19-infection-confirmed
2020-3-4,112,,,,,,79,7,26,1,2,355,2849,,https://www.moh.gov.sg/news-highlights/details/one-more-case-discharged-two-new-cases-of-covid-19-infection-confirmed
2020-3-5,117,,,,,,81,7,29,2,5,381,2910,,https://www.moh.gov.sg/news-highlights/details/two-more-cases-discharged-five-new-cases-of-covid-19-infection-confirmed
2020-3-6,130,,,,,,82,9,39,1,13,389,2977,,https://www.moh.gov.sg/news-highlights/details/one-more-case-discharged-thirteen-new-cases-of-covid-19-infection-confirmed
2020-3-7,138,,,,,,90,8,40,8,8,446,3006,,https://www.moh.gov.sg/news-highlights/details/eight-more-cases-discharged-eight-more-cases-of-covid-19-infection-confirmed
