Country,Country code,Population Density
Burundi,108,463.0
Comoros,174,467.3
Djibouti,262,42.6
Eritrea,232,35.1
Ethiopia,231,115.0
Kenya,404,94.5
Madagascar,450,47.6
Malawi,454,202.9
Mauritius,480,626.5
Mayotte,175,727.5
Mozambique,508,39.7
Réunion,638,358.1
Rwanda,646,525.0
Seychelles,690,213.8
Somalia,706,25.3
South Sudan,728,18.3
Uganda,800,228.9
United Republic of Tanzania,834,67.4
Zambia,894,24.7
Zimbabwe,716,38.4
Angola,24,26.4
Cameroon,120,56.2
Central African Republic,140,7.8
Chad,148,13.0
Congo,178,16.2
Democratic Republic of the Congo,180,39.5
Equatorial Guinea,226,50.0
Gabon,266,8.6
Sao Tome and Principe,678,228.3
Botswana,72,4.1
Swaziland,748,67.5
Lesotho,426,70.6
Namibia,516,3.1
South Africa,710,48.9
Benin,204,107.5
Burkina Faso,854,76.4
Cabo Verde,132,138.0
Côte d'Ivoire,384,83.0
Gambia,270,238.8
Ghana,288,136.6
Guinea,324,53.4
Guinea-Bissau,624,70.0
Liberia,430,52.5
Mali,466,16.6
Mauritania,478,4.5
Niger,562,19.1
Nigeria,566,226.3
Saint Helena,654,15.6
Senegal,686,87.0
Sierra Leone,694,110.5
Togo,768,152.2
Algeria,12,18.4
Egypt,818,102.8
Libya,434,3.9
Morocco,504,82.7
Sudan,729,24.8
Tunisia,788,76.1
Western Sahara,732,2.2
Armenia,51,104.1
Azerbaijan,31,122.7
Bahrain,48,2238.9
Cyprus,196,130.7
Georgia,268,57.4
Iraq,368,92.6
Israel,376,400.0
Jordan,400,114.9
Kuwait,414,239.7
Lebanon,422,667.2
Oman,512,16.5
Qatar,634,248.2
Saudi Arabia,682,16.2
State of Palestine,275,847.4
Syrian Arab Republic,760,95.3
Turkey,792,109.6
United Arab Emirates,784,118.3
Yemen,887,56.5
Kazakhstan,398,7.0
Kyrgyzstan,417,34.0
Tajikistan,762,68.1
Turkmenistan,795,12.8
Uzbekistan,860,78.7
Afghanistan,4,59.6
Bangladesh,50,1265.2
Bhutan,64,20.2
India,356,464.1
Iran (Islamic Republic of),364,51.6
Maldives,462,1801.8
Nepal,524,203.3
Pakistan,586,286.5
Sri Lanka,144,341.5
China,156,153.3
Hong Kong,344,7140.0
"China, Macao SAR",446,21717.1
Taiwan,158,672.6
Dem. People's Republic of Korea,408,214.1
Japan,392,346.9
Mongolia,496,2.1
Republic of Korea,410,527.3
Brunei Darussalam,96,83.0
Cambodia,116,94.7
