Country,Hospital Beds,Year
Afghanistan,0.5,2015
Albania,2.9,2013
Algeria,1.9,2015
American Samoa,,
Andorra,2.5,2009
Angola,0.8,2005
Antigua and Barbuda,3.8,2014
Argentina,5.0,2014
Armenia,4.2,2015
Aruba,,
Australia,3.8,2014
Austria,7.6,2013
Azerbaijan,4.7,2013
"Bahamas, The",2.9,2013
Bahrain,2.0,2014
Bangladesh,0.8,2015
Barbados,5.8,2014
Belarus,11.0,2013
Belgium,6.2,2014
Belize,1.3,2014
Benin,0.5,2010
Bermuda,6.3,1996
Bhutan,1.7000000000000002,2012
Bolivia,1.1,2014
Bosnia and Herzegovina,3.5,2013
Botswana,1.8,2010
Brazil,2.2,2014
British Virgin Islands,,
Brunei Darussalam,2.7,2015
Bulgaria,6.8,2013
Burkina Faso,0.4,2010
Burundi,0.8,2014
Cabo Verde,2.1,2010
Cambodia,0.8,2015
Cameroon,1.3,2010
Canada,2.7,2012
Cayman Islands,3.0,1990
Central African Republic,1.0,2011
Chad,0.4,2005
Channel Islands,10.6,1981
Chile,2.2,2013
China,4.2,2012
Colombia,1.5,2014
Comoros,2.2,2010
"Congo, Dem. Rep.",0.8,2006
"Congo, Rep.",1.6,2005
Costa Rica,1.2,2015
Cote d'Ivoire,0.4,2006
Croatia,5.6,2015
Cuba,5.2,2014
Curacao,,
Cyprus,3.4,2013
Czech Republic,6.5,2015
Denmark,2.5,2015
Djibouti,1.4,2014
Dominica,3.8,2012
Dominican Republic,1.6,2014
Ecuador,1.5,2013
"Egypt, Arab Rep.",1.6,2014
El Salvador,1.3,2014
Equatorial Guinea,2.1,2010
Eritrea,0.7000000000000001,2011
Estonia,5.0,2015
Eswatini,2.1,2011
Ethiopia,0.30000000000000004,2015
Faroe Islands,,
Fiji,2.3,2011
Finland,4.4,2015
France,6.5,2013
French Polynesia,,
Gabon,6.3,2010
"Gambia, The",1.1,2011
Georgia,2.6,2013
Germany,8.3,2013
Ghana,0.9,2011
Gibraltar,,
Greece,4.3,2015
Greenland,14.4,1970
Grenada,3.7,2014
Guam,,
Guatemala,0.6000000000000001,2014
Guinea,0.30000000000000004,2011
Guinea-Bissau,1.0,2009
Guyana,1.6,2014
Haiti,0.7000000000000001,2013
Honduras,0.7000000000000001,2014
"Hong Kong SAR, China",4.9,1985
Hungary,7.0,2013
Iceland,3.2,2014
India,0.7000000000000001,2011
Indonesia,1.2,2015
"Iran, Islamic Rep.",1.5,2014
Iraq,1.4,2014
Ireland,2.8,2013
Isle of Man,1.6,2009
Israel,3.1,2013
Italy,3.4,2012
Jamaica,1.7000000000000002,2013
Japan,13.4,2012
Jordan,1.4,2015
Kazakhstan,6.7,2013
Kenya,1.4,2010
Kiribati,1.9,2015
"Korea, Dem. People’s Rep.",13.2,2012
"Korea, Rep.",11.5,2015
Kosovo,,
Kuwait,2.0,2014
Kyrgyz Republic,4.5,2013
Lao PDR,1.5,2012
Latvia,5.8,2013
Lebanon,2.9,2014
Lesotho,1.3,2006
Liberia,0.8,2010
Libya,3.7,2014
Liechtenstein,,
Lithuania,7.3,2013
Luxembourg,4.8,2015
"Macao SAR, China",5.3,1970
Madagascar,0.2,2010
Malawi,1.3,2011
Malaysia,1.9,2015
Maldives,4.3,2009
Mali,0.1,2010
Malta,4.7,2014
Marshall Islands,2.7,2010
Mauritania,0.4,2006
Mauritius,3.4,2011
Mexico,1.5,2015
"Micronesia, Fed. Sts.",3.2,2009
Moldova,5.8,2013
Monaco,13.8,2012
Mongolia,7.0,2012
Montenegro,4.0,2012
Morocco,1.1,2014
Mozambique,0.7000000000000001,2011
Myanmar,0.9,2012
Namibia,2.7,2009
Nauru,5.0,2010
Nepal,0.30000000000000004,2012
Netherlands,4.7,2009
New Caledonia,,
New Zealand,2.8,2013
Nicaragua,0.9,2014
Niger,0.30000000000000004,2015
Nigeria,0.5,2004
North Macedonia,4.4,2013
Northern Mariana Islands,,
Norway,3.9,2013
Oman,1.6,2014
Pakistan,0.6000000000000001,2014
Palau,4.8,2010
Panama,2.3,2013
Papua New Guinea,4.0,1990
Paraguay,1.3,2011
Peru,1.6,2014
Philippines,1.0,2011
Poland,6.5,2013
Portugal,3.4,2013
Puerto Rico,3.3,1996
Qatar,1.2,2014
Romania,6.3,2013
Russian Federation,8.2,2013
Rwanda,1.6,2007
Samoa,1.0,2005
San Marino,3.8,2012
Sao Tome and Principe,2.9,2011
Saudi Arabia,2.7,2014
Senegal,0.30000000000000004,2008
Serbia,5.7,2012
Seychelles,3.6,2011
Sierra Leone,0.4,2006
Singapore,2.4,2015
Sint Maarten (Dutch part),,
